Title,Link
Icelandic Naming Committee,/wiki/Icelandic_Naming_Committee
Neville Neville,/wiki/Neville_Neville
"Richard Temple-Nugent-Brydges-Chandos-Grenville, 3rd Duke of Buckingham and Chandos","/wiki/Richard_Temple-Nugent-Brydges-Chandos-Grenville,_3rd_Duke_of_Buckingham_and_Chandos"
Roger Fuckebythenavele,/wiki/Roger_Fuckebythenavele
States Rights Gist,/wiki/States_Rights_Gist
Thursday October Christian I,/wiki/Thursday_October_Christian_I
Tokyo Sexwale,/wiki/Tokyo_Sexwale
"Hubert Blaine Wolfeschlegelsteinhausenbergerdorff, Sr.","/wiki/Hubert_Blaine_Wolfeschlegelsteinhausenbergerdorff,_Sr."
Archaeoacoustics,/wiki/Archaeoacoustics
Ota Benga,/wiki/Ota_Benga
Buttered toast phenomenon,/wiki/Buttered_toast_phenomenon
Buttered cat paradox,/wiki/Buttered_cat_paradox
Vladimir Demikhov,/wiki/Vladimir_Demikhov
Natasha Demkina,/wiki/Natasha_Demkina
Drake's Plate of Brass,/wiki/Drake%27s_Plate_of_Brass
Elvis taxon,/wiki/Elvis_taxon
Further research is needed,/wiki/Further_research_is_needed
Gilbert U-238 Atomic Energy Laboratory,/wiki/Gilbert_U-238_Atomic_Energy_Laboratory
Lazarus taxon,/wiki/Lazarus_taxon
List of Ig Nobel Prize winners,/wiki/List_of_Ig_Nobel_Prize_winners
'Pataphysics,/wiki/%27Pataphysics
Pathological science,/wiki/Pathological_science
Project Steve,/wiki/Project_Steve
Raven paradox,/wiki/Raven_paradox
Sokal affair,/wiki/Sokal_affair
"""Women are wonderful"" effect",/wiki/%22Women_are_wonderful%22_effect
Colors of noise,/wiki/Colors_of_noise
David Hahn,/wiki/David_Hahn
Demon core,/wiki/Demon_core
"List of fictional elements, materials, isotopes and atomic particles","/wiki/List_of_fictional_elements,_materials,_isotopes_and_atomic_particles"
Flying ice cube,/wiki/Flying_ice_cube
The Hum,/wiki/The_Hum
Kundt's tube,/wiki/Kundt%27s_tube
List of unusual units of measurement,/wiki/List_of_unusual_units_of_measurement
